row,speed,colors,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id
1553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,815,60,395552,html-button-response,0,NULL,NULL,NULL
1554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5813,61,401367,html-slider-response,NULL,61,NULL,NULL
1555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,401369,call-function,NULL,NULL,NULL,NULL
1556,13,Array,0.5,1,0,2,1,NULL,NULL,NULL,63,417275,pong,NULL,NULL,NULL,NULL
1557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1301,64,418578,html-button-response,0,NULL,NULL,NULL
1558,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1196,65,419776,html-button-response,1,NULL,NULL,NULL
1559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2461,66,422239,html-slider-response,NULL,61,NULL,NULL
1560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,422241,call-function,NULL,NULL,NULL,NULL
1561,15,Array,0.5,1,2,5,3,NULL,NULL,NULL,68,439811,pong,NULL,NULL,NULL,NULL
1562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2056,69,441870,html-button-response,1,NULL,NULL,NULL
1563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,921,70,442793,html-button-response,2,NULL,NULL,NULL
1564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1602,71,444396,html-slider-response,NULL,15,NULL,NULL
1565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,444399,call-function,NULL,NULL,NULL,NULL
1566,13,Array,1.9,1,4,1,2,NULL,NULL,NULL,73,464712,pong,NULL,NULL,NULL,NULL
1567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7133,74,471849,html-button-response,2,NULL,NULL,NULL
1568,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3940,75,475790,html-button-response,0,NULL,NULL,NULL
1569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2319,76,478112,html-slider-response,NULL,65,NULL,NULL
1570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,478114,call-function,NULL,NULL,NULL,NULL
1571,15,Array,1.9,1,4,0,2,NULL,NULL,NULL,78,498296,pong,NULL,NULL,NULL,NULL
1572,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1894,79,500194,html-button-response,1,NULL,NULL,NULL
1573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1049,80,501247,html-button-response,1,NULL,NULL,NULL
1574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1729,81,502979,html-slider-response,NULL,62,NULL,NULL
1575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,502982,call-function,NULL,NULL,NULL,NULL
1576,15,Array,1.2,1,1,0,1,NULL,NULL,NULL,83,520464,pong,NULL,NULL,NULL,NULL
1577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1220,84,521686,html-button-response,1,NULL,NULL,NULL
1578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1771,85,523459,html-button-response,0,NULL,NULL,NULL
1579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1822,86,525283,html-slider-response,NULL,60,NULL,NULL
1580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,525285,call-function,NULL,NULL,NULL,NULL
1581,13,Array,0.5,1,1,0,1,NULL,NULL,NULL,88,547082,pong,NULL,NULL,NULL,NULL
1582,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3860,89,550945,html-button-response,1,NULL,NULL,NULL
1583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,609,90,551556,html-button-response,1,NULL,NULL,NULL
1584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2323,91,553882,html-slider-response,NULL,56,NULL,NULL
1585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,553886,call-function,NULL,NULL,NULL,NULL
1586,13,Array,1.9,1,2,0,1,NULL,NULL,NULL,93,571917,pong,NULL,NULL,NULL,NULL
1587,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1641,94,573561,html-button-response,1,NULL,NULL,NULL
1588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1898,95,575462,html-button-response,0,NULL,NULL,NULL
1589,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2627,96,578091,html-slider-response,NULL,67,NULL,NULL
1590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,578094,call-function,NULL,NULL,NULL,NULL
1591,17,Array,1.2,1,0,0,1,NULL,NULL,NULL,98,596585,pong,NULL,NULL,NULL,NULL
1592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2131,99,598718,html-button-response,0,NULL,NULL,NULL
1593,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4542,100,603263,html-button-response,2,NULL,NULL,NULL
1594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1709,101,604974,html-slider-response,NULL,81,NULL,NULL
1595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,604976,call-function,NULL,NULL,NULL,NULL
1596,15,Array,1.9,1,1,0,1,NULL,NULL,NULL,103,622170,pong,NULL,NULL,NULL,NULL
1597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3109,104,625281,html-button-response,0,NULL,NULL,NULL
1598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,548,105,625831,html-button-response,0,NULL,NULL,NULL
1599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1411,106,627244,html-slider-response,NULL,50,NULL,NULL
1600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107,627247,call-function,NULL,NULL,NULL,NULL
1601,17,Array,1.2,1,6,0,3,NULL,NULL,NULL,108,651088,pong,NULL,NULL,NULL,NULL
1602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3124,109,654214,html-button-response,1,NULL,NULL,NULL
